game_id,player_id,player_name_ko,team_name_ko,main_position,shots,shots_on_target,goals,passes_total,passes_successful,passes_failed,carries,tackles_total,tackles_successful,interceptions,blocks,clearances,recoveries,duels_total,duels_won,carries_progressive,assists,key_passes,fantasy_score
126285,187326.0,팔로세비치,FC서울,CM,1,0,0,33,25,8,19,7,1,2,2,0,10,2,2,1,0,1,16.05
126285,188178.0,엄지성,광주FC,LW,2,0,0,22,22,0,16,1,1,3,0,2,4,1,1,1,0,0,14.5
126285,188266.0,강성진,FC서울,RW,1,0,0,19,15,4,12,5,2,3,0,1,5,2,2,1,0,1,15.799999999999999
126285,188267.0,이태석,FC서울,LB,1,0,0,18,12,6,11,1,1,1,0,0,4,1,1,0,0,0,7.65
126285,248890.0,김신진,FC서울,CF,0,0,0,10,5,5,3,4,2,2,2,0,5,3,3,0,0,1,14.3
126285,250079.0,김경민,광주FC,GK,0,0,0,22,16,6,11,0,0,1,0,0,0,0,0,0,0,0,3.35
126285,250101.0,정호연,광주FC,CM,2,0,0,51,45,6,29,4,2,5,4,2,9,4,4,7,0,2,35.349999999999994
126285,250102.0,이건희,광주FC,CF,3,0,0,14,13,1,11,1,0,3,1,1,4,5,5,1,1,1,24.0
126285,286696.0,일류첸코,FC서울,CF,2,0,0,14,9,5,2,0,0,0,0,0,4,6,6,0,0,2,13.95
126285,344465.0,임상협,FC서울,LW,0,0,0,7,7,0,8,1,0,0,0,0,2,0,0,0,0,0,1.4
126285,344466.0,최철원,FC서울,GK,0,0,0,19,15,4,8,0,0,0,0,0,5,0,0,0,0,0,3.2
126285,344467.0,권완규,FC서울,CB,2,0,0,66,57,9,34,0,0,9,2,8,9,5,5,0,0,0,36.15
126285,344552.0,김경민,FC서울,RW,0,0,0,8,5,3,6,2,1,1,0,0,2,2,2,2,0,0,6.55
126285,369783.0,오후성,광주FC,CF,0,0,0,6,5,1,8,3,1,2,0,0,0,0,0,3,0,0,5.65
126285,500124.0,린가드,FC서울,CAM,1,0,0,9,7,2,2,0,0,0,0,0,3,0,0,0,0,0,2.6
126285,500133.0,포포비치,광주FC,CB,0,0,0,58,51,7,37,2,0,9,5,8,9,4,4,12,0,0,38.800000000000004
126285,500135.0,가브리엘,광주FC,RM,1,0,1,15,11,4,21,5,1,5,2,1,8,7,7,7,0,0,34.75
126285,500138.0,변준수,광주FC,CB,0,0,0,2,1,1,1,0,0,2,0,1,1,1,1,0,0,0,4.9
126285,500139.0,최경록,광주FC,CF,1,0,0,23,22,1,10,1,0,1,0,1,4,2,2,4,0,1,11.75
126285,500140.0,김진호,광주FC,LB,2,0,0,38,36,2,26,5,3,10,2,6,7,2,2,7,0,0,36.9
126285,500141.0,안혁주,광주FC,LM,1,0,0,6,6,0,4,0,0,1,1,1,1,1,1,0,0,0,6.1
126285,500142.0,박태준,광주FC,CM,0,0,0,7,7,0,2,0,0,1,1,3,2,0,0,0,0,0,5.3999999999999995
126286,61616.0,김동민,인천 유나이티드,CB,1,0,0,77,64,13,37,1,0,8,1,6,7,3,3,7,0,0,31.5
126286,61623.0,정동윤,인천 유나이티드,RB,0,0,0,16,16,0,10,0,0,1,1,1,2,0,0,5,0,0,7.199999999999999
126286,61645.0,무고사,인천 유나이티드,CF,3,0,0,23,18,5,10,1,1,1,1,0,7,1,1,1,0,0,12.45
126286,77574.0,지언학,인천 유나이티드,CAM,0,0,0,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0.5
126286,146189.0,문지환,인천 유나이티드,CM,1,0,0,8,7,1,3,0,0,1,1,1,2,3,3,0,0,0,8.4
126286,161122.0,오반석,인천 유나이티드,CB,0,0,0,60,57,3,28,1,0,11,4,7,5,5,5,3,0,0,38.05
126286,250141.0,이명주,인천 유나이티드,CM,0,0,0,83,78,5,30,2,1,6,2,2,10,1,1,2,0,2,30.85
126286,250147.0,김성민,인천 유나이티드,RW,0,0,0,23,22,1,12,0,0,0,1,0,4,0,0,4,0,0,6.15
126286,250148.0,홍시후,인천 유나이티드,RWB,0,0,0,18,14,4,17,1,1,1,1,1,3,2,2,2,0,1,12.05
126286,252489.0,이승우,수원FC,LW,0,0,0,12,9,3,4,2,1,1,1,0,2,0,0,0,0,1,7.25
126286,287282.0,이용,수원FC,RB,0,0,0,43,27,16,13,3,0,5,3,5,4,3,3,0,0,1,20.849999999999998
126286,354809.0,박철우,수원FC,LB,0,0,0,32,28,4,18,6,3,11,2,10,5,0,0,0,0,0,32.1
126286,354812.0,윤빛가람,수원FC,CM,1,0,0,63,56,7,25,6,2,10,4,9,14,2,2,1,0,0,39.300000000000004
